device_id,device_name,device_type,manufacturer,model,rated_power_kw,installation_date,firmware_version,serial_number,location_id,status,maintenance_due,efficiency_rating,max_capacity,communication_protocol,ip_address,warranty_expiry,last_inspection_date,energy_label,lifecycle_phase
DEV-1001,Main HVAC Unit,HVAC System,Carrier,Infinity 20,15.5,2023-01-15,v4.2.1,CAR78954123,LOC-1001,Active,2025-12-15,A+,250000 BTU,BACnet,192.168.1.101,2028-01-15,2025-01-05,A+++,Operational
DEV-1002,Solar Array North,Solar Panel System,SunPower,X22-370,25.9,2022-08-20,v2.0.5,SPX22789456,LOC-1002,Active,2025-08-20,A++,25.9 kW,Modbus,192.168.1.102,2032-08-20,2024-12-10,A+,Operational
DEV-1003,Battery Storage 1,Battery System,Tesla,Powerpack 2,50.0,2023-03-12,v7.1.3,TPK23567891,LOC-1001,Active,2025-03-12,A,100 kWh,Proprietary,192.168.1.103,2028-03-12,2025-01-15,A,Operational
DEV-1004,Chiller Unit 1,Cooling System,Trane,RTAC,120.0,2021-06-18,v3.4.8,TRN67891234,LOC-1003,Active,2025-06-18,B+,400 Tons,Modbus,192.168.1.104,2026-06-18,2024-11-30,B,Operational
DEV-1005,Wind Turbine 1,Wind Generator,Vestas,V126-3.45,3450.0,2019-10-25,v2.1.9,VST34567890,LOC-1004,Active,2025-04-25,A+,3.45 MW,OPC UA,192.168.1.105,2029-10-25,2024-10-05,A,Operational
DEV-1006,Substation Transformer,Transformer,ABB,Power IT,2500.0,2020-05-11,N/A,ABB12345678,LOC-1005,Active,2025-05-11,A,2.5 MVA,DNP3,192.168.1.106,2030-05-11,2024-11-15,A,Operational
DEV-1007,Office Lighting System,Lighting,Philips,HUE Commercial,15.0,2023-07-20,v2.4.6,PHL45678901,LOC-1001,Active,2025-07-20,A++,15 kW,ZigBee,192.168.1.107,2028-07-20,2025-01-20,A++,Operational
DEV-1008,Electric Vehicle Charger 1,EV Charger,ChargePoint,CT4000,7.2,2022-11-30,v5.1.2,CP56789012,LOC-1006,Active,2025-11-30,A+,7.2 kW,OCPP,192.168.1.108,2027-11-30,2024-11-25,A+,Operational
DEV-1009,Boiler System,Heating System,Viessmann,Vitocrossal 300,85.0,2021-02-14,v1.8.7,VSM67890123,LOC-1001,Active,2025-02-14,A,300000 BTU,KNX,192.168.1.109,2026-02-14,2024-08-15,A,Operational
DEV-1010,Smart Meter Main,Smart Meter,Landis+Gyr,E650,0.01,2022-04-05,v3.2.1,LG78901234,LOC-1001,Active,2025-04-05,A++,N/A,DLMS,192.168.1.110,2027-04-05,2024-10-20,A+,Operational
DEV-1011,Battery Storage 2,Battery System,LG Chem,RESU10H,10.0,2022-09-17,v4.3.2,LGC89012345,LOC-1002,Active,2025-09-17,A+,10 kWh,Modbus,192.168.1.111,2027-09-17,2024-09-05,A+,Operational
DEV-1012,Elevator Motor 1,Motor,Otis,Gen2,15.0,2020-12-21,v2.0.1,OT90123456,LOC-1001,Active,2025-06-21,B+,15 kW,BACnet,192.168.1.112,2025-12-21,2024-12-15,B+,Operational
DEV-1013,Solar Array South,Solar Panel System,First Solar,Series 6,30.0,2023-04-30,v1.7.3,FS01234567,LOC-1002,Active,2025-04-30,A++,30 kW,Modbus,192.168.1.113,2033-04-30,2025-01-10,A++,Operational
DEV-1014,Water Pump System,Pump,Grundfos,MAGNA3,5.5,2021-11-10,v2.5.6,GF12345678,LOC-1001,Active,2025-11-10,A,5.5 kW,Modbus,192.168.1.114,2026-11-10,2024-11-01,A,Operational
DEV-1015,Cooling Tower,Cooling System,Baltimore Aircoil,Series 3000,45.0,2020-08-03,v1.1.5,BAC23456789,LOC-1003,Maintenance,2025-02-03,B,500 Tons,BACnet,192.168.1.115,2025-08-03,2024-08-15,B,Operational
DEV-1016,Wind Turbine 2,Wind Generator,GE,2.5-120,2500.0,2018-05-29,v3.4.2,GE34567890,LOC-1004,Active,2025-11-29,A,2.5 MW,OPC UA,192.168.1.116,2028-05-29,2024-11-15,A,Operational
DEV-1017,Emergency Generator,Generator,Cummins,QSK60,2000.0,2021-09-14,v2.0.8,CUM45678901,LOC-1001,Standby,2025-09-14,B+,2 MW,Modbus,192.168.1.117,2026-09-14,2024-09-10,B+,Operational
DEV-1018,Server Room AC,HVAC System,Daikin,VRV IV,25.0,2022-06-12,v4.5.2,DKN56789012,LOC-1007,Active,2025-06-12,A,25 kW,BACnet,192.168.1.118,2027-06-12,2024-12-05,A,Operational
DEV-1019,Electric Vehicle Charger 2,EV Charger,Tesla,Wall Connector,11.5,2023-02-28,v2.2.0,TES67890123,LOC-1006,Active,2025-02-28,A++,11.5 kW,OCPP,192.168.1.119,2028-02-28,2025-01-25,A++,Operational
DEV-1020,Energy Storage System,Battery System,Fluence,Gridstack,100.0,2021-07-16,v3.6.7,FL78901234,LOC-1005,Active,2025-07-16,A+,100 kWh,DNP3,192.168.1.120,2026-07-16,2024-07-05,A+,Operational
DEV-1021,Solar Inverter 1,Solar Inverter,SMA,Sunny Tripower,27.0,2022-08-20,v2.3.5,SMA89012345,LOC-1002,Active,2025-08-20,A++,27 kW,Modbus,192.168.1.121,2032-08-20,2024-08-10,A++,Operational
DEV-1022,Elevator Motor 2,Motor,Schindler,5500,18.0,2021-04-09,v1.9.3,SCH90123456,LOC-1001,Active,2025-04-09,B+,18 kW,BACnet,192.168.1.122,2026-04-09,2024-10-15,B+,Operational
DEV-1023,Water Heater,Heating System,A.O. Smith,BTH-199,11.7,2022-10-13,v1.0.2,AOS01234567,LOC-1001,Active,2025-10-13,B,199000 BTU,Modbus,192.168.1.123,2027-10-13,2024-10-05,B,Operational
DEV-1024,Smart Thermostat System,Building Control,Honeywell,Tridium Niagara,0.1,2023-01-07,v4.8.5,HON12345678,LOC-1001,Active,2025-01-07,A++,N/A,BACnet,192.168.1.124,2028-01-07,2025-01-05,A++,Operational
DEV-1025,Data Center UPS,UPS,Eaton,9395P,900.0,2020-11-20,v3.2.7,EA23456789,LOC-1007,Active,2025-05-20,A,900 kW,Modbus,192.168.1.125,2025-11-20,2024-09-15,A,Operational
DEV-1026,Chiller Unit 2,Cooling System,York,YMCÂ²,150.0,2022-03-05,v2.6.1,YRK34567890,LOC-1003,Active,2025-03-05,A,500 Tons,BACnet,192.168.1.126,2027-03-05,2024-09-25,A,Operational
DEV-1027,Solar Inverter 2,Solar Inverter,Fronius,Eco 27.0-3-S,27.0,2023-04-30,v3.1.4,FRO45678901,LOC-1002,Active,2025-04-30,A++,27 kW,Modbus,192.168.1.127,2033-04-30,2025-01-15,A++,Operational
DEV-1028,Electric Vehicle Charger 3,EV Charger,ABB,Terra HP,175.0,2022-05-18,v2.4.3,ABB56789012,LOC-1006,Active,2025-05-18,A++,175 kW,OCPP,192.168.1.128,2027-05-18,2024-11-10,A++,Operational
DEV-1029,Office LED Panels,Lighting,Cree,ZR Series,12.0,2022-12-14,v1.5.9,CR67890123,LOC-1001,Active,2025-12-14,A+++,12 kW,DALI,192.168.1.129,2027-12-14,2024-12-10,A+++,Operational
DEV-1030,Solar Array East,Solar Panel System,JinkoSolar,Eagle 72HM,20.0,2023-05-21,v1.2.7,JNK78901234,LOC-1002,Active,2025-05-21,A++,20 kW,Modbus,192.168.1.130,2033-05-21,2025-01-20,A++,Operational
DEV-1031,Building Management System,BMS,Johnson Controls,Metasys,5.0,2021-01-30,v10.1.5,JC89012345,LOC-1001,Active,2025-01-30,A++,N/A,BACnet,192.168.1.131,2026-01-30,2024-07-25,A+,Operational
DEV-1032,Microgrid Controller,Controller,Siemens,SICAM,3.0,2022-07-08,v4.2.8,SI90123456,LOC-1005,Active,2025-07-08,A+,N/A,IEC 61850,192.168.1.132,2027-07-08,2024-09-20,A+,Operational
DEV-1033,Heat Pump System,HVAC System,Mitsubishi,CITY MULTI,45.0,2023-01-10,v2.7.3,MIT01234567,LOC-1001,Active,2025-01-10,A++,45 kW,BACnet,192.168.1.133,2028-01-10,2025-01-05,A++,Operational
DEV-1034,Factory Machine Press,Industrial Machine,Siemens,SIMATIC,120.0,2019-09-22,v3.5.1,SIE12345678,LOC-1008,Active,2025-03-22,C,120 kW,PROFINET,192.168.1.134,2024-09-22,2024-09-15,C,Operational
DEV-1035,Power Factor Correction,Power Quality,Schneider,VarSet,150.0,2020-04-16,v1.1.0,SCH23456789,LOC-1005,Active,2025-04-16,A,150 kVAR,Modbus,192.168.1.135,2025-04-16,2024-10-05,A,Operational
DEV-1036,Compressed Air System,Compressor,Atlas Copco,GA 75+,75.0,2021-08-27,v2.4.7,AC34567890,LOC-1008,Maintenance,2025-02-27,B,75 kW,Modbus,192.168.1.136,2026-08-27,2024-08-20,B,Operational
DEV-1037,Electric Forklift Charger,Charger,Crown,V-Force,15.0,2022-09-19,v1.3.6,CRW45678901,LOC-1008,Active,2025-09-19,B+,15 kW,Proprietary,192.168.1.137,2027-09-19,2024-09-10,B+,Operational
DEV-1038,Waste Heat Recovery,Energy Recovery,Alfa Laval,AlfaRex,25.0,2021-12-05,v1.0.4,AL56789012,LOC-1003,Active,2025-12-05,A+,25 kW,Modbus,192.168.1.138,2026-12-05,2024-12-01,A+,Operational
DEV-1039,Factory Lighting System,Lighting,Osram,OSRAM Light,35.0,2020-07-11,v2.8.1,OS67890123,LOC-1008,Active,2025-07-11,A,35 kW,DALI,192.168.1.139,2025-07-11,2024-07-05,A,Operational
DEV-1040,Rooftop Solar Inverter,Solar Inverter,Enphase,IQ8,11.7,2023-03-15,v5.0.2,ENP78901234,LOC-1002,Active,2025-03-15,A+++,11.7 kW,Modbus,192.168.1.140,2033-03-15,2025-01-10,A+++,Operational
DEV-1041,Industrial Furnace,Heating System,Nabertherm,N 120/85 HA,95.0,2019-11-09,v1.1.8,NAB89012345,LOC-1008,Active,2025-05-09,C+,95 kW,Modbus,192.168.1.141,2024-11-09,2024-11-05,C+,Operational
DEV-1042,Data Center Cooling,HVAC System,Vertiv,Liebert,200.0,2020-10-17,v3.7.2,VRT90123456,LOC-1007,Active,2025-04-17,A,200 kW,BACnet,192.168.1.142,2025-10-17,2024-10-10,A,Operational
DEV-1043,Hydrogen Fuel Cell,Fuel Cell,Bloom Energy,Energy Server,300.0,2022-02-23,v2.5.0,BLE01234567,LOC-1005,Testing,2025-02-23,A+,300 kW,Modbus,192.168.1.143,2032-02-23,2024-08-15,A+,Testing
DEV-1044,Wind Turbine 3,Wind Generator,Siemens Gamesa,SG 4.5-145,4500.0,2020-03-10,v3.1.9,SG12345678,LOC-1004,Active,2025-09-10,A+,4.5 MW,OPC UA,192.168.1.144,2030-03-10,2024-09-01,A+,Operational
DEV-1045,Hydroelectric Generator,Hydro Generator,Voith,StreamDiver,500.0,2019-06-18,v1.0.7,VO23456789,LOC-1009,Active,2025-06-18,A++,500 kW,IEC 61850,192.168.1.145,2029-06-18,2024-06-10,A++,Operational
DEV-1046,Biomass Boiler,Biomass System,Viessmann,Pyrot,540.0,2021-05-15,v2.2.4,VIE34567890,LOC-1010,Active,2025-05-15,B+,540 kW,Modbus,192.168.1.146,2026-05-15,2024-11-10,B+,Operational
DEV-1047,Grid Tie Inverter,Grid Inverter,ABB,PVS-175-TL,175.0,2022-10-28,v4.3.0,ABB45678901,LOC-1005,Active,2025-10-28,A++,175 kW,Modbus,192.168.1.147,2027-10-28,2024-10-20,A++,Operational
DEV-1048,Electric Boiler,Heating System,Chromalox,CEH,250.0,2023-02-05,v1.8.2,CHR56789012,LOC-1001,Active,2025-02-05,B,250 kW,Modbus,192.168.1.148,2028-02-05,2025-01-25,B,Operational
DEV-1049,Geothermal Heat Pump,Geothermal System,ClimateMaster,Tranquility,75.0,2021-10-12,v2.4.9,CLM67890123,LOC-1001,Active,2025-10-12,A+,75 kW,BACnet,192.168.1.149,2026-10-12,2024-10-05,A+,Operational
DEV-1050,Energy Monitoring System,Monitoring,Schneider,PowerLogic,0.5,2022-01-23,v5.2.1,SCH78901234,LOC-1001,Active,2025-01-23,A+++,N/A,Modbus,192.168.1.150,2027-01-23,2024-07-15,A+++,Operational