event_id,event_type,device_id,location_id,timestamp,duration_minutes,energy_kwh,peak_power_kw,triggered_by,status,anomaly_detected,notes,priority,resolution,assigned_to,weather_conditions,external_temperature_c,event_signature,cost_impact_usd,carbon_impact_kg
EVT-10001,Power Outage,DEV-1003,LOC-1001,2025-01-05T14:23:45,127,0,0,Grid Failure,Resolved,No,Substation failure caused complete power loss,High,Backup generator activated,EMP-301,Clear,2.5,PO-12458-75,1250.75,0
EVT-10002,Efficiency Decrease,DEV-1002,LOC-1002,2025-01-07T09:15:30,2880,450.5,25.9,Dust Accumulation,Resolved,Yes,Solar panel efficiency dropped by 15%,Medium,Panel cleaning performed,EMP-302,Sunny,32.1,ED-78542-33,645.20,102.5
EVT-10003,Maintenance,DEV-1004,LOC-1003,2025-01-10T08:00:00,360,0,0,Scheduled,Completed,No,Quarterly maintenance check and filter replacement,Low,All systems operational,EMP-303,Cloudy,18.5,MT-98754-11,1200.00,0
EVT-10004,Demand Response,DEV-1007,LOC-1001,2025-01-12T16:30:15,90,75.2,12.8,Utility Signal,Completed,No,Peak load reduction event successfully executed,Medium,Load reduced by 15%,EMP-304,Partly Cloudy,26.7,DR-45632-99,0,-15.8
EVT-10005,Equipment Failure,DEV-1015,LOC-1003,2025-01-15T11:42:10,840,0,0,Component Failure,Resolved,Yes,Cooling tower pump motor failure,High,Motor replaced,EMP-305,Rainy,12.3,EF-85214-62,3750.25,0
EVT-10006,Energy Spike,DEV-1018,LOC-1007,2025-01-18T03:27:55,15,45.8,183.2,System Malfunction,Resolved,Yes,Unexpected power surge in server cooling system,High,Circuit breaker replaced,EMP-306,Clear,15.6,ES-15487-01,850.50,10.5
EVT-10007,Renewable Generation Peak,DEV-1005,LOC-1004,2025-01-20T13:00:25,180,1575.0,3450.0,Weather Conditions,Completed,No,Record wind generation during storm front,Low,N/A,EMP-307,Stormy,8.9,RG-94562-23,0,-360.2
EVT-10008,Scheduled Shutdown,DEV-1010,LOC-1001,2025-01-22T22:00:00,360,0,0,Maintenance,Completed,No,Building-wide power shutdown for electrical upgrades,Medium,Successfully completed on schedule,EMP-308,Clear,-5.2,SS-78965-45,0,0
EVT-10009,Voltage Sag,DEV-1006,LOC-1005,2025-01-25T17:35:12,12,0,0,Grid Instability,Resolved,Yes,Momentary voltage reduction detected,Medium,Power quality monitoring implemented,EMP-309,Sunny,23.1,VS-12589-72,0,0
EVT-10010,Capacity Test,DEV-1003,LOC-1001,2025-01-27T10:00:00,120,125.0,50.0,Testing,Completed,No,Battery storage capacity verification test,Low,95% capacity confirmed,EMP-310,Partly Cloudy,14.5,CT-65823-14,0,0
EVT-10011,Critical Alarm,DEV-1042,LOC-1007,2025-01-30T02:14:37,45,0,0,Temperature Threshold,Resolved,Yes,Data center cooling emergency alarm,Critical,Backup cooling system activated,EMP-311,Clear,-8.4,CA-98532-08,0,0
EVT-10012,Efficiency Increase,DEV-1013,LOC-1002,2025-02-01T12:30:00,1440,795.0,30.0,System Optimization,Completed,No,Solar tracking algorithm improvement deployed,Low,Efficiency increased by 8%,EMP-312,Sunny,29.8,EI-32145-77,0,-181.3
EVT-10013,Power Quality Event,DEV-1035,LOC-1005,2025-02-03T19:27:18,35,0,0,Harmonic Distortion,Resolved,Yes,Harmonic distortion exceeding IEEE limits,Medium,Harmonic filters adjusted,EMP-313,Clear,10.2,PQ-85214-39,750.25,0
EVT-10014,Maintenance,DEV-1009,LOC-1001,2025-02-05T08:30:00,240,0,0,Scheduled,Completed,No,Annual boiler system inspection and service,Low,All components operating within parameters,EMP-314,Snowing,-2.1,MT-32569-40,1500.00,0
EVT-10015,Equipment Failure,DEV-1008,LOC-1006,2025-02-08T15:42:33,720,0,0,Component Failure,Resolved,Yes,EV charger communication module failure,High,Module replaced,EMP-315,Rainy,12.5,EF-45871-91,1250.75,0
EVT-10016,Load Balancing,DEV-1020,LOC-1005,2025-02-10T11:15:00,60,25.0,25.0,Grid Request,Completed,No,Energy storage discharge for grid stabilization,Medium,Successfully delivered 25 kWh to grid,EMP-316,Cloudy,15.7,LB-78542-26,0,-5.7
EVT-10017,Security Alert,DEV-1031,LOC-1001,2025-02-12T23:57:10,120,0,0,Unauthorized Access,Resolved,Yes,Attempted network access to building management system,Critical,Security protocols activated and threat contained,EMP-317,Clear,3.8,SA-95175-03,0,0
EVT-10018,Demand Response,DEV-1041,LOC-1008,2025-02-15T14:00:00,240,285.0,71.25,Utility Signal,Completed,No,Planned load reduction in industrial furnace,Medium,Temperature setback implemented successfully,EMP-318,Sunny,5.2,DR-15427-55,0,-65.1
EVT-10019,Weather Event,DEV-1002,LOC-1002,2025-02-18T16:30:25,1080,0,0,Storm,Resolved,No,Solar farm shutdown due to hail forecast,Medium,No damage reported,EMP-319,Stormy,26.3,WE-86523-67,0,0
EVT-10020,Power Outage,DEV-1017,LOC-1001,2025-02-20T03:14:27,18,0,0,Equipment Failure,Resolved,Yes,Brief outage due to transfer switch failure,High,Switch replaced,EMP-320,Clear,-1.2,PO-15932-81,0,0
EVT-10021,Energy Optimization,DEV-1024,LOC-1001,2025-02-22T00:00:00,1440,325.0,0,Algorithm Update,Completed,No,HVAC optimization schedule implemented,Low,15% energy reduction achieved,EMP-321,Sunny,8.5,EO-45127-19,0,-74.1
EVT-10022,Critical Alarm,DEV-1038,LOC-1003,2025-02-25T07:45:19,90,0,0,Pressure Threshold,Resolved,Yes,High pressure alarm in heat recovery system,High,Pressure relief valve activated,EMP-322,Partly Cloudy,17.8,CA-78542-76,0,0
EVT-10023,Renewable Generation Peak,DEV-1045,LOC-1009,2025-02-27T12:15:00,300,250.0,500.0,Water Flow Rate,Completed,No,Peak hydroelectric generation during high water flow,Low,N/A,EMP-323,Rainy,4.3,RG-98745-22,0,-57.0
EVT-10024,Maintenance,DEV-1022,LOC-1001,2025-03-01T09:00:00,180,0,0,Scheduled,Completed,No,Monthly elevator motor system inspection,Low,All systems operational,EMP-324,Sunny,9.7,MT-15423-72,750.50,0
EVT-10025,Equipment Failure,DEV-1012,LOC-1001,2025-03-03T16:37:42,420,0,0,Component Failure,Resolved,Yes,Elevator motor variable frequency drive failure,High,Drive replaced,EMP-325,Partly Cloudy,11.2,EF-98745-51,2250.75,0
EVT-10026,Commissioning,DEV-1043,LOC-1005,2025-03-05T10:00:00,480,120.0,300.0,New Installation,Completed,No,Hydrogen fuel cell initial testing phase,Medium,System performing to specifications,EMP-326,Clear,12.5,CM-45387-82,0,0
EVT-10027,Energy Spike,DEV-1036,LOC-1008,2025-03-07T13:42:15,25,31.3,75.0,Rapid Pressurization,Resolved,Yes,Compressed air system unexpected load,Medium,Pressure regulator adjusted,EMP-327,Cloudy,14.3,ES-78521-34,0,7.1
EVT-10028,Voltage Sag,DEV-1039,LOC-1008,2025-03-10T22:15:37,18,0,0,External Grid,Resolved,No,Factory-wide voltage fluctuation from utility,Low,No damage reported,EMP-328,Clear,2.8,VS-65412-09,0,0
EVT-10029,Efficiency Decrease,DEV-1030,LOC-1002,2025-03-12T14:23:45,2160,275.0,20.0,Shading Problem,Resolved,Yes,Solar array efficiency drop due to new construction shadow,Medium,Panel reconfiguration implemented,EMP-329,Sunny,24.5,ED-78542-05,0,62.7
EVT-10030,Scheduled Shutdown,DEV-1016,LOC-1004,2025-03-15T08:00:00,720,0,0,Maintenance,Completed,No,Wind turbine gearbox maintenance,Medium,Successfully completed ahead of schedule,EMP-330,Clear,7.3,SS-98523-37,4500.00,0
EVT-10031,Firmware Update,DEV-1018,LOC-1007,2025-03-18T01:00:00,90,0,0,Security Patch,Completed,No,Critical security update for data center HVAC,Low,Update successfully installed,EMP-331,Clear,5.6,FU-65823-94,0,0
EVT-10032,Power Quality Event,DEV-1047,LOC-1005,2025-03-20T09:27:33,15,0,0,Grid Instability,Resolved,Yes,Frequency fluctuation affecting inverter operation,Medium,Protective settings adjusted,EMP-332,Sunny,16.8,PQ-98742-11,0,0
EVT-10033,Cybersecurity Drill,DEV-1031,LOC-1001,2025-03-22T14:00:00,240,0,0,Scheduled Test,Completed,No,Simulated cyberattack on building systems,Medium,All systems responded correctly to threats,EMP-333,Partly Cloudy,13.2,CD-45632-28,0,0
EVT-10034,Equipment Failure,DEV-1027,LOC-1002,2025-03-25T11:18:45,540,0,0,Component Failure,Resolved,Yes,Solar inverter DC input fault,High,DC combiner box replaced,EMP-334,Sunny,28.4,EF-75321-87,1850.25,0
EVT-10035,Demand Response,DEV-1010,LOC-1001,2025-03-27T17:30:00,120,45.7,0,Utility Signal,Completed,No,Building-wide lighting and temperature adjustment,Low,Successfully reduced load by 12%,EMP-335,Clear,19.5,DR-98765-46,0,-10.4
EVT-10036,Energy Optimization,DEV-1049,LOC-1001,2025-03-30T00:00:00,1440,185.0,0,Algorithm Update,Completed,No,Geothermal heat pump seasonal transition adjustment,Low,8% efficiency improvement achieved,EMP-336,Cloudy,12.7,EO-65478-23,0,-42.2
EVT-10037,Power Outage,DEV-1034,LOC-1008,2025-04-02T14:52:37,420,0,0,Equipment Failure,Resolved,Yes,Factory-wide power loss due to main breaker failure,Critical,Breaker replaced and all systems restored,EMP-337,Rainy,11.3,PO-87452-35,25000.75,0
EVT-10038,Critical Alarm,DEV-1005,LOC-1004,2025-04-05T08:15:12,60,0,0,Vibration Sensor,Resolved,Yes,Excessive vibration detected in wind turbine,High,Bearing replacement scheduled,EMP-338,Windy,9.8,CA-65214-76,0,0
EVT-10039,Maintenance,DEV-1032,LOC-1005,2025-04-08T09:00:00,300,0,0,Scheduled,Completed,No,Quarterly microgrid controller diagnostics,Low,Firmware updated and settings optimized,EMP-339,Sunny,15.2,MT-98452-39,1200.00,0
EVT-10040,Renewable Generation Peak,DEV-1013,LOC-1002,2025-04-10T12:45:15,240,187.5,30.0,Solar Conditions,Completed,No,Record solar production during exceptionally clear day,Low,N/A,EMP-340,Sunny,26.3,RG-54325-17,0,-42.8
EVT-10041,Load Balancing,DEV-1011,LOC-1002,2025-04-12T20:30:00,180,15.0,5.0,Grid Stability,Completed,No,Battery discharge during evening demand peak,Low,Successfully reduced grid demand,EMP-341,Clear,18.7,LB-98752-83,0,-3.4
EVT-10042,Equipment Failure,DEV-1024,LOC-1001,2025-04-15T09:37:22,360,0,0,Sensor Failure,Resolved,Yes,Building automation temperature sensor failure,Medium,Sensor replaced and system recalibrated,EMP-342,Partly Cloudy,21.5,EF-65478-29,450.25,0
EVT-10043,Energy Spike,DEV-1021,LOC-1002,2025-04-18T14:27:32,10,4.5,27.0,Startup Surge,Resolved,Yes,Solar inverter startup power spike,Low,Normal operation resumed automatically,EMP-343,Sunny,25.8,ES-98754-74,0,1.0
EVT-10044,Scheduled Shutdown,DEV-1025,LOC-1007,2025-04-20T00:00:00,240,0,0,Testing,Completed,No,UPS system full load test,Medium,System performed to specifications,EMP-344,Clear,16.2,SS-45678-21,0,0
EVT-10045,Firmware Update,DEV-1033,LOC-1001,2025-04-22T02:00:00,120,0,0,Optimization,Completed,No,Heat pump control system firmware update,Low,Energy efficiency algorithm improved,EMP-345,Clear,14.7,FU-98745-62,0,0
EVT-10046,Power Quality Event,DEV-1006,LOC-1005,2025-04-25T15:45:28,25,0,0,Lightning Strike,Resolved,Yes,Lightning strike causing transient overvoltage,High,Surge protection devices activated successfully,EMP-346,Stormy,18.9,PQ-65423-05,0,0
EVT-10047,Efficiency Decrease,DEV-1046,LOC-1010,2025-04-28T11:30:15,1440,351.0,0,Fuel Quality,Resolved,Yes,Biomass boiler efficiency drop due to moisture content,Medium,Fuel source adjusted,EMP-347,Rainy,12.1,ED-98754-53,0,80.0
EVT-10048,Capacity Test,DEV-1020,LOC-1005,2025-05-01T10:00:00,240,100.0,25.0,Testing,Completed,No,Annual battery storage capacity verification,Low,92% capacity confirmed,EMP-348,Sunny,17.3,CT-45632-81,0,0
EVT-10049,Critical Alarm,DEV-1048,LOC-1001,2025-05-03T07:45:22,30,0,0,Pressure Threshold,Resolved,Yes,Electric boiler high pressure alarm,High,Pressure relief valve activated,EMP-349,Clear,15.6,CA-78965-33,0,0
EVT-10050,Commissioning,DEV-1050,LOC-1001,2025-05-05T09:00:00,480,0,0,New Installation,Completed,No,Energy monitoring system commissioning and calibration,Medium,System successfully integrated with all devices,EMP-350,Partly Cloudy,18.9,CM-65487-12,2500.00,0