shipment_id,order_id,shipment_type,ship_from_id,ship_to_id,carrier_id,status,date_created,estimated_delivery,actual_ship_date,actual_delivery_date,package_count,total_weight,weight_unit,transport_mode,tracking_number,current_location,special_instructions,customs_clearance,insurance_value,temperature_controlled
SHIP-1001,ORD-1001,Standard,LOC-401,LOC-501,CARR-601,Delivered,2025-01-05,2025-01-15,2025-01-06,2025-01-14,1,8.5,kg,Ground,TRK12345678,Delivered,None,No,600.00,No
SHIP-1002,ORD-1002,Express,LOC-402,LOC-502,CARR-602,Delivered,2025-01-06,2025-01-12,2025-01-07,2025-01-11,1,4.2,kg,Air,TRK23456789,Delivered,Handle with care,No,700.00,No
SHIP-1003,ORD-1003,Standard,LOC-403,LOC-503,CARR-603,In Transit,2025-01-07,2025-01-20,2025-01-09,NULL,2,12.8,kg,Ground,TRK34567890,Chicago IL,None,No,450.00,No
SHIP-1004,ORD-1004,Bulk,LOC-401,LOC-504,CARR-604,In Transit,2025-01-08,2025-01-25,2025-01-10,NULL,5,76.3,kg,Ground,TRK45678901,Denver CO,None,No,760.00,No
SHIP-1005,ORD-1005,Standard,LOC-404,LOC-505,CARR-601,Delivered,2025-01-09,2025-01-19,2025-01-11,2025-01-18,1,5.1,kg,Ground,TRK56789012,Delivered,None,No,270.00,No
SHIP-1006,ORD-1006,Express,LOC-405,LOC-506,CARR-605,Cancelled,2025-01-10,2025-01-16,NULL,NULL,1,2.3,kg,Air,NULL,NULL,Signature required,No,500.00,No
SHIP-1007,ORD-1007,Standard,LOC-402,LOC-501,CARR-602,Delivered,2025-01-11,2025-01-21,2025-01-12,2025-01-20,1,6.7,kg,Ground,TRK67890123,Delivered,None,No,260.00,No
SHIP-1008,ORD-1008,Bulk,LOC-403,LOC-507,CARR-606,Processing,2025-01-12,2025-01-30,NULL,NULL,3,42.5,kg,Sea,NULL,Warehouse,None,No,270.00,No
SHIP-1009,ORD-1009,Express,LOC-404,LOC-502,CARR-601,In Transit,2025-01-13,2025-01-18,2025-01-14,NULL,1,4.8,kg,Air,TRK78901234,Atlanta GA,None,No,250.00,No
SHIP-1010,ORD-1010,Standard,LOC-401,LOC-508,CARR-607,Delivered,2025-01-14,2025-01-24,2025-01-15,2025-01-23,1,7.3,kg,Ground,TRK89012345,Delivered,None,No,240.00,No
SHIP-1011,ORD-1011,Bulk,LOC-406,LOC-509,CARR-603,Processing,2025-01-15,2025-01-31,NULL,NULL,2,38.6,kg,Ground,NULL,Warehouse,None,No,320.00,No
SHIP-1012,ORD-1012,Standard,LOC-402,LOC-510,CARR-608,Delivered,2025-01-16,2025-01-26,2025-01-17,2025-01-25,1,9.2,kg,Ground,TRK90123456,Delivered,None,No,440.00,No
SHIP-1013,ORD-1013,Express,LOC-407,LOC-511,CARR-602,In Transit,2025-01-17,2025-01-22,2025-01-18,NULL,1,5.6,kg,Air,TRK01234567,San Francisco CA,Signature required,No,900.00,No
SHIP-1014,ORD-1014,Standard,LOC-403,LOC-512,CARR-609,Processing,2025-01-18,2025-02-01,NULL,NULL,2,15.4,kg,Ground,NULL,Warehouse,None,No,275.00,No
SHIP-1015,ORD-1015,Bulk,LOC-404,LOC-513,CARR-601,Delivered,2025-01-19,2025-02-05,2025-01-21,2025-02-03,4,52.8,kg,Ground,TRK12345098,Delivered,None,No,240.00,No
SHIP-1016,ORD-1016,Standard,LOC-408,LOC-514,CARR-610,Cancelled,2025-01-20,2025-01-30,NULL,NULL,1,4.3,kg,Ground,NULL,NULL,None,No,300.00,No
SHIP-1017,ORD-1017,Express,LOC-401,LOC-515,CARR-602,Delivered,2025-01-21,2025-01-26,2025-01-22,2025-01-25,1,6.8,kg,Air,TRK23450987,Delivered,None,No,255.00,No
SHIP-1018,ORD-1018,Standard,LOC-409,LOC-516,CARR-611,Processing,2025-01-22,2025-02-05,NULL,NULL,1,8.9,kg,Ground,NULL,Warehouse,None,No,230.00,No
SHIP-1019,ORD-1019,Bulk,LOC-410,LOC-517,CARR-601,In Transit,2025-01-23,2025-02-10,2025-01-25,NULL,6,78.3,kg,Ground,TRK34509876,Dallas TX,None,No,210.00,No
SHIP-1020,ORD-1020,Standard,LOC-402,LOC-518,CARR-612,Delivered,2025-01-24,2025-02-03,2025-01-25,2025-02-02,1,7.5,kg,Ground,TRK45098765,Delivered,None,No,380.00,No
SHIP-1021,ORD-1021,Express,LOC-411,LOC-519,CARR-602,In Transit,2025-01-25,2025-01-30,2025-01-26,NULL,1,4.6,kg,Air,TRK50987654,Miami FL,None,No,240.00,No
SHIP-1022,ORD-1022,Standard,LOC-403,LOC-520,CARR-613,Processing,2025-01-26,2025-02-09,NULL,NULL,1,12.3,kg,Ground,NULL,Warehouse,None,No,1400.00,No
SHIP-1023,ORD-1023,Bulk,LOC-412,LOC-521,CARR-601,Delivered,2025-01-27,2025-02-15,2025-01-29,2025-02-13,2,36.5,kg,Ground,TRK09876543,Delivered,None,No,915.00,No
SHIP-1024,ORD-1024,Standard,LOC-401,LOC-522,CARR-614,In Transit,2025-01-28,2025-02-07,2025-01-30,NULL,2,18.7,kg,Ground,TRK98765432,Phoenix AZ,None,No,230.00,No
SHIP-1025,ORD-1025,Express,LOC-413,LOC-523,CARR-602,Delivered,2025-01-29,2025-02-03,2025-01-30,2025-02-02,1,2.4,kg,Air,TRK87654321,Delivered,None,No,90.00,No
SHIP-1026,ORD-1026,Standard,LOC-402,LOC-524,CARR-615,Cancelled,2025-01-30,2025-02-09,NULL,NULL,1,5.8,kg,Ground,NULL,NULL,None,No,1000.00,No
SHIP-1027,ORD-1027,Bulk,LOC-414,LOC-525,CARR-601,Processing,2025-01-31,2025-02-20,NULL,NULL,4,65.2,kg,Ground,NULL,Warehouse,None,No,2280.00,No
SHIP-1028,ORD-1028,Standard,LOC-403,LOC-526,CARR-616,Delivered,2025-02-01,2025-02-11,2025-02-02,2025-02-10,1,7.1,kg,Ground,TRK76543210,Delivered,None,No,80.00,No
SHIP-1029,ORD-1029,Express,LOC-415,LOC-527,CARR-602,In Transit,2025-02-02,2025-02-07,2025-02-03,NULL,1,5.3,kg,Air,TRK65432109,Seattle WA,None,No,375.00,No
SHIP-1030,ORD-1030,Standard,LOC-401,LOC-528,CARR-617,Processing,2025-02-03,2025-02-17,NULL,NULL,1,8.6,kg,Ground,NULL,Warehouse,None,No,280.00,No
SHIP-1031,ORD-1031,Bulk,LOC-416,LOC-529,CARR-601,Delivered,2025-02-04,2025-02-25,2025-02-06,2025-02-23,5,58.4,kg,Ground,TRK54321098,Delivered,None,No,570.00,No
SHIP-1032,ORD-1032,Standard,LOC-402,LOC-530,CARR-618,In Transit,2025-02-05,2025-02-15,2025-02-07,NULL,1,7.8,kg,Ground,TRK43210987,Portland OR,None,No,330.00,No
SHIP-1033,ORD-1033,Express,LOC-417,LOC-531,CARR-602,Delivered,2025-02-06,2025-02-11,2025-02-07,2025-02-10,1,5.7,kg,Air,TRK32109876,Delivered,Signature required,No,900.00,No
SHIP-1034,ORD-1034,Standard,LOC-403,LOC-532,CARR-619,Cancelled,2025-02-07,2025-02-21,NULL,NULL,1,4.1,kg,Ground,NULL,NULL,None,No,115.00,No
SHIP-1035,ORD-1035,Bulk,LOC-418,LOC-533,CARR-601,Processing,2025-02-08,2025-03-01,NULL,NULL,5,62.5,kg,Ground,NULL,Warehouse,None,No,300.00,No
SHIP-1036,ORD-1036,Standard,LOC-401,LOC-534,CARR-620,Delivered,2025-02-09,2025-02-19,2025-02-10,2025-02-18,1,8.3,kg,Ground,TRK21098765,Delivered,None,No,600.00,No
SHIP-1037,ORD-1037,Express,LOC-419,LOC-535,CARR-602,In Transit,2025-02-10,2025-02-15,2025-02-11,NULL,1,4.9,kg,Air,TRK10987654,Minneapolis MN,None,No,170.00,No
SHIP-1038,ORD-1038,Standard,LOC-402,LOC-536,CARR-621,Processing,2025-02-11,2025-02-25,NULL,NULL,1,9.6,kg,Ground,NULL,Warehouse,None,No,260.00,No
SHIP-1039,ORD-1039,Bulk,LOC-420,LOC-537,CARR-601,Delivered,2025-02-12,2025-03-05,2025-02-14,2025-03-03,7,85.7,kg,Ground,TRK09876521,Delivered,None,No,245.00,No
SHIP-1040,ORD-1040,Standard,LOC-403,LOC-538,CARR-622,In Transit,2025-02-13,2025-02-23,2025-02-15,NULL,1,8.1,kg,Ground,TRK98765210,Detroit MI,None,No,455.00,No
SHIP-1041,ORD-1041,Express,LOC-401,LOC-539,CARR-602,Delivered,2025-02-14,2025-02-19,2025-02-15,2025-02-18,1,7.2,kg,Air,TRK87652109,Delivered,None,No,480.00,No
SHIP-1042,ORD-1042,Standard,LOC-421,LOC-540,CARR-623,Processing,2025-02-15,2025-03-01,NULL,NULL,1,10.5,kg,Ground,NULL,Warehouse,None,No,1050.00,No
SHIP-1043,ORD-1043,Bulk,LOC-402,LOC-541,CARR-601,In Transit,2025-02-16,2025-03-10,2025-02-18,NULL,3,45.3,kg,Ground,TRK76521098,Boston MA,None,No,1140.00,No
SHIP-1044,ORD-1044,Standard,LOC-422,LOC-542,CARR-624,Delivered,2025-02-17,2025-02-27,2025-02-18,2025-02-26,2,15.8,kg,Ground,TRK65210987,Delivered,None,No,180.00,No
SHIP-1045,ORD-1045,Express,LOC-403,LOC-543,CARR-602,Cancelled,2025-02-18,2025-02-23,NULL,NULL,1,2.6,kg,Air,NULL,NULL,None,No,90.00,No
SHIP-1046,ORD-1046,Standard,LOC-423,LOC-544,CARR-625,Processing,2025-02-19,2025-03-05,NULL,NULL,1,12.7,kg,Ground,NULL,Warehouse,Signature required,No,1500.00,No
SHIP-1047,ORD-1047,Bulk,LOC-401,LOC-545,CARR-601,Delivered,2025-02-20,2025-03-15,2025-02-22,2025-03-13,4,68.9,kg,Ground,TRK54210987,Delivered,None,No,2610.00,No
SHIP-1048,ORD-1048,Standard,LOC-424,LOC-546,CARR-626,In Transit,2025-02-21,2025-03-03,2025-02-23,NULL,1,6.2,kg,Ground,TRK43109876,Philadelphia PA,None,No,70.00,No
SHIP-1049,ORD-1049,Express,LOC-402,LOC-547,CARR-602,Delivered,2025-02-22,2025-02-27,2025-02-23,2025-02-26,1,4.7,kg,Air,TRK32098765,Delivered,None,No,250.00,No
SHIP-1050,ORD-1050,Standard,LOC-425,LOC-548,CARR-627,Processing,2025-02-23,2025-03-09,NULL,NULL,1,10.8,kg,Ground,NULL,Warehouse,None,No,360.00,No